Order ID,Order Date,Region,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
ORD-00001,2025-10-16,West,Furniture,Bookcases,Metal Bookcase,4,0.05,508.92,-73.97
ORD-00002,2025-07-12,West,Technology,Accessories,Keyboard,1,0,190.54,10
ORD-00003,2024-01-28,East,Technology,Machines,Shredder,7,0.05,2560.27,-165.22
ORD-00004,2024-01-07,East,Technology,Accessories,Mouse,5,0.05,927.98,147.28
ORD-00005,2024-04-14,West,Office Supplies,Binders,Ring Binder,6,0.2,1290.06,-270.93
ORD-00006,2025-04-15,West,Office Supplies,Binders,Presentation Binder,5,0.3,2323.81,328.55
ORD-00007,2025-08-14,East,Technology,Phones,Smartphone,4,0.1,3075.04,579.48
ORD-00008,2024-04-13,South,Office Supplies,Paper,Notebook Paper,6,0.05,1829.29,-175.84
ORD-00009,2024-09-30,West,Technology,Machines,Printer,4,0.05,1503.22,-102.71
ORD-00010,2025-10-17,East,Technology,Accessories,Keyboard,4,0,2591.74,11.76
ORD-00011,2024-03-08,East,Technology,Machines,Scanner,4,0.3,1514.78,230.18
ORD-00012,2025-10-20,South,Furniture,Tables,Office Table,4,0.3,1694.11,-227.25
ORD-00013,2025-08-21,South,Technology,Accessories,Mouse,4,0.05,1648.85,-248.45
ORD-00014,2024-02-18,West,Furniture,Bookcases,Wood Bookcase,7,0.2,462.52,-25.19
ORD-00015,2025-04-24,Central,Technology,Phones,Office Phone,2,0.3,1313.75,118.77
ORD-00016,2025-10-18,Central,Furniture,Tables,Conference Table,3,0.15,65.06,7.46
ORD-00017,2024-09-26,East,Technology,Phones,Office Phone,5,0.3,1923.89,-314.56
ORD-00018,2025-01-17,East,Technology,Machines,Printer,6,0.15,203.23,42.66
ORD-00019,2024-11-10,East,Furniture,Chairs,Conference Chair,2,0,1181.78,230.89
ORD-00020,2025-06-29,East,Furniture,Bookcases,Metal Bookcase,3,0.1,1262.39,93.46
ORD-00021,2024-08-04,East,Technology,Accessories,Mouse,6,0.15,4167.81,-40.91
